,Unnamed: 0,star_name,distance,mass,radius,name,light_years_from_earth,stellar_magnitude,discovery_date
72,72,2MASS J06411840-4322329 [de],65.0,67,1.01,47 Ursae Majoris b,45.0,5.03352,1996
73,73,DENIS-P J0652197-253450 [de],51.0,75,1.05,47 Ursae Majoris c,45.0,5.03352,2001
74,74,2MASS J07003664+3157266 [de],40.0,,,47 Ursae Majoris d,45.0,5.03352,2009
75,75,2MASS J07075327-4900503,60.0,72,1.03,11 Comae Berenices b,304.0,4.72307,2007
76,76,UGPS J072227.51-054031.2,13.4,26,0.98,11 Ursae Minoris b,409.0,5.013,2009
77,77,2MASSI J0727182+171001 [de],29.6,41,0.94,14 Andromedae b,246.0,5.23133,2008
78,78,2MASS J07290002-3954043 [de],25.8,37,0.94,14 Herculis b,58.0,6.61935,2002
79,79,SDSS J074201.41+205520.5 [de],49.0,43,0.94,16 Cygni B b,69.0,6.215,1996
80,80,2MASS J0746425+200032 [fr],49.6,,,17 Scorpii b,408.0,5.22606,2020
81,81,DENIS-P J0751164-253043 [de],55.0,71,1.03,18 Delphini b,249.0,5.51048,2008
82,82,2MASS J07522390+1612157,60.0,68,2.01,1RXS J160929.1-210524 b,454.0,12.618,2008
83,83,DENIS J081730.0-615520,16.1,44,0.94,24 Bootis b,313.0,5.59,2018
84,84,DENIS J082303.1−491201A,67.0,44,,24 Sextantis b,235.0,6.4535,2010
85,85,DENIS J082303.1−491201B,67.0,28,,24 Sextantis c,235.0,6.4535,2010
86,86,2MASS J08251968+2115521 [de],35.0,52,0.98,2M0437 b,419.0,16.186,2021
87,87,SDSSp J083008.12+482847.4 [de],43.0,48,0.99,2MASS J01033563-5515561 AB b,154.0,15.788,2013
88,88,LHS 2021,55.0,88,1.15,2MASS J01225093-2439505 b,110.0,14.244,2013
89,89,SDSS J083048.80+012831.1 [de],77.0,46,0.96,2MASS J02192210-3925225 b,131.0,15.0123,2015
90,90,2MASSI J0835425-081923 [de],23.53,62,1.0,2MASS J04414489+2301513 b,393.0,18.9668,2010
91,91,2MASSI J0847287-153237 [de],43.0,64,1.0,2MASS J12073346-3932539 b,210.0,20.15,2004
92,92,2MASS J08533619-0329321,27.6,77,1.07,2MASS J19383260+4603591 b,1293.0,12.651,2015
93,93,2MASSI J0859254-194926 [de],50.0,50,0.98,2MASS J21402931+1625183 A b,108.0,17.3961,2009
94,94,2MASSW J0920122+351742 [de],95.0,,,2MASS J22362452+4751425 b,227.0,12.368,2016
95,95,2MASSI J0937347+293142,20.0,42,0.94,30 Arietis B b,146.0,7.09209,2009
96,96,2MASS 0939−2448,17.4,32,0.95,42 Draconis b,296.0,4.8262,2008
97,97,2MASS J09490860-1545485 [de],59.0,49,0.96,47 Ursae Majoris b,45.0,5.03352,1996
98,98,2MASS J10073369-4555147,46.0,44,0.94,47 Ursae Majoris c,45.0,5.03352,2001
99,99,2MASSI J1010148-040649 [de],55.0,51,0.98,47 Ursae Majoris d,45.0,5.03352,2009
100,100,2MASSI J1017075+130839 [de],108.0,,,4 Ursae Majoris b,240.0,4.5801,2006
101,101,SDSS J102109.69-030420.1,95.0,,,51 Eridani b,97.0,5.21149,2015
102,102,2MASS J10224821+5825453 [de],60.0,27,1.41,51 Pegasi b,50.0,5.45309,1995
103,103,2MASSW J1036530-344138 [de],53.0,49,0.97,55 Cancri b,41.0,5.95084,1996
104,104,2MASS J1047538+212423 [de],34.4,42,0.94,55 Cancri c,41.0,5.95084,2004
105,105,DEN 1048-3956,13.15,77,1.07,55 Cancri d,41.0,5.95084,2002
106,106,Luhman 16B,6.516,43,1.02,55 Cancri e,41.0,5.95084,2004
107,107,Luhman 16A,6.516,40,1.01,55 Cancri f,41.0,5.95084,2007
108,108,DENIS-P J1058.7−1548,49.0,64,1.0,61 Virginis b,28.0,4.6955,2009
109,109,TWA 28,180.0,36,2.39,61 Virginis c,28.0,4.6955,2009
110,110,Cha 110913-773444,163.0,8,1.8,61 Virginis d,28.0,4.6955,2009
111,111,OTS 44,554.0,15,,6 Lyncis b,178.0,5.87307,2008
112,112,SDSS J111010.01+011613.1,63.0,9,1.24,70 Virginis b,58.0,4.96808,1996
113,113,2MASS J11145133−2618235,18.2,33,0.96,75 Ceti b,271.0,5.3532,2012
114,114,TWA 26,137.0,30,2.2,7 Canis Majoris b,65.0,3.95,2011
115,115,2MASSW J1146345+223053,89.0,,,7 Canis Majoris c,65.0,3.95,2019
116,116,2MASS J11544223-3400390 [de],129.0,37,1.5,81 Ceti b,330.0,5.64307,2008
117,117,2MASSW J1155395-372735 [de],31.0,64,1.0,8 Ursae Minoris b,530.0,6.83295,2015
118,118,TWA 27A,,,,91 Aquarii b,144.0,4.23946,2013
119,119,TWA 27B,,,,AB Aurigae b,529.0,7.076,2022
120,120,2MASS J12074836-3900043,217.0,17,1.71,AB Pictoris b,163.0,9.13,2005
121,121,2MASSI J1217110-031113 [de],36.0,42,0.94,Alpha Arietis b,66.0,2.00538,2010
122,122,2MASS J12255432-2739466,43.0,,,Alpha Tauri b,67.0,0.872,2015
