,Unnamed: 0,star_name,distance,mass,radius,name,light_years_from_earth,stellar_magnitude,discovery_date
204,204,WISE 0148-7202,30.0,,,Beta Ursae Minoris b,126.0,2.0569,2014
205,205,WISE 0150+3827,61.3,,,CD Ceti b,28.0,13.95,2020
206,206,WISE 0206+2640,58.4,,,CFBDSIR J145829+101343 b,75.0,,2011
207,207,WISE 0221+3842,73.1,,,CFHTWIR-Oph 98 b,,,2021
208,208,WISE 0223-2932,47.0,,,CHXR 73 b,621.0,17.2934,2006
209,209,WISE 0226-0211,91.0,,,CI Tauri b,515.0,13.642,2019
210,210,WISE 0241-3653,53.8,,,COCONUTS-2 b,36.0,11.298,2021
211,211,WISE 0245-3450,56.1,,,CoRoT-10 b,1104.0,15.293,2010
212,212,WISE 0247+3725,57.1,,,CoRoT-11 b,2137.0,12.897,2010
213,213,WISE 0305+3954,75.0,,,CoRoT-12 b,3674.0,15.588,2010
214,214,WISE 0307+2904,82.8,,,CoRoT-13 b,3748.0,15.005,2010
215,215,WISE 0313+7807,28.0,,,CoRoT-14 b,5691.0,15.932,2010
216,216,WISE 0316+4307,106.3,,,CoRoT-16 b,2389.0,16.052,2011
217,217,WISE 0321-7347,84.8,,,CoRoT-17 b,3837.0,16.29,2011
218,218,WISE 0323-6025,45.3,,,CoRoT-18 b,2495.0,14.868,2011
219,219,WISE 0325-3854,51.2,,,CoRoT-19 b,2579.0,14.135,2011
220,220,WISE 0325+0831,36.5,,,CoRoT-1 b,2570.0,13.623,2008
221,221,WISE 0333-5856,54.8,,,CoRoT-20 b,2753.0,14.63,2011
222,222,WISE 0335+4310,45.7,,,CoRoT-20 c,2753.0,14.63,2018
223,223,WISE 0336-0143,55.4,,,CoRoT-21 b,4563.0,16.058,2012
224,224,WISE 0350-5658,17.7,,,CoRoT-22 b,2046.0,13.82,2014
225,225,WISE 0359-5401,19.2,,,CoRoT-23 b,3461.0,15.675,2011
226,226,WISE 0410+1502,20.0,6,1.17,CoRoT-24 b,1930.0,15.383,2014
227,227,WISE 0410+1411,85.8,,,CoRoT-24 c,1930.0,15.383,2014
228,228,WISE 0413-4750,66.2,,,CoRoT-25 b,3600.0,14.79,2013
229,229,WISE 0448-1935,69.8,,,CoRoT-26 b,3409.0,15.861,2013
230,230,WISE 0458+6434A,35.9,15,4.2,CoRoT-27 b,3296.0,15.774,2014
231,231,WISE 0458+6434B,35.9,10,3.8,CoRoT-28 b,2499.0,13.783,2015
232,232,WISE 0500-1223,47.0,,,CoRoT-29 b,2631.0,15.408,2015
233,233,WISE 0513+0608,44.7,,,CoRoT-2 b,696.0,12.516,2008
234,234,WISE 0525+6739,98.2,,,CoRoT-30 b,3367.0,15.571,2020
235,235,WISE 0528-3308,57.4,,,CoRoT-31 b,6543.0,15.479,2020
236,236,WISE 0535-7500,47.0,,,CoRoT-3 b,2508.0,13.448,2008
237,237,WISE 0539-1034,84.8,,,CoRoT-4 b,2370.0,13.652,2008
238,238,WISE 0542-1628,50.6,,,CoRoT-5 b,2879.0,14.043,2009
239,239,WISE 0607+2429,25.4,,,CoRoT-6 b,2105.0,13.961,2009
240,240,WISE 0611-0410,57.7,,,CoRoT-7 b,522.0,11.728,2009
241,241,WISE 0612-4920,95.2,,,CoRoT-7 c,522.0,11.728,2009
242,242,WISE 0612-3036,64.9,,,CoRoT-8 b,1050.0,14.792,2010
243,243,WISE 0614+3912,50.2,,,CoRoT-9 b,1347.0,13.637,2009
244,244,WISE 0614+0951,51.5,,,CoRoTID 223977153 b,1881.0,13.626,2017
245,245,WISE 0623-0456,37.5,,,CT Chamaleontis b,622.0,12.335,2007
246,246,WISE 0625+5646,67.2,,,DE Canun Venaticorum b,100.0,12.956,2018
247,247,WISE 0627-1114,37.2,,,DENIS-P J082303.1-491201 b,68.0,18.5577,2013
248,248,WISE 0647-6232,28.0,,,DH Tauri b,440.0,13.98,2004
249,249,WISE 0656+4205,54.1,,,DMPP-1 b,204.0,7.98,2019
250,250,WISE 0713-2917,23.2,,,CoRoT-23 b,3461.0,15.675,2011
251,251,WISE 0723+3403,45.7,,,CoRoT-24 b,1930.0,15.383,2014
252,252,WISE 0733+7544,78.3,,,CoRoT-24 c,1930.0,15.383,2014
253,253,WISE 0734-7157,34.9,,,CoRoT-25 b,3600.0,14.79,2013
254,254,WISE 0744+5628,47.3,,,CoRoT-26 b,3409.0,15.861,2013
255,255,WISE 0750+2725,51.5,,,CoRoT-27 b,3296.0,15.774,2014
256,256,WISE 0751-7634,39.1,,,CoRoT-28 b,2499.0,13.783,2015
257,257,WISE 0759-4904,38.8,,,CoRoT-29 b,2631.0,15.408,2015
258,258,WISE 0811-8051,32.0,,,CoRoT-2 b,696.0,12.516,2008
259,259,WISE 0812+4021,63.6,,,CoRoT-30 b,3367.0,15.571,2020
260,260,WISE 0819-0335,46.0,,,CoRoT-31 b,6543.0,15.479,2020
261,261,WISE 0821+1443,68.2,,,CoRoT-3 b,2508.0,13.448,2008
262,262,WISE 0836-1859,72.4,,,CoRoT-4 b,2370.0,13.652,2008
263,263,WISE 0857+5604,42.1,,,CoRoT-5 b,2879.0,14.043,2009
264,264,WISE 0906+4735,51.5,,,CoRoT-6 b,2105.0,13.961,2009
265,265,WISE 0929+0409,64.9,,,CoRoT-7 b,522.0,11.728,2009
266,266,WISE 0952+1955,72.1,,,CoRoT-7 c,522.0,11.728,2009
267,267,WISE 1018-2445,47.6,,,CoRoT-8 b,1050.0,14.792,2010
268,268,WISE 1019+6529,56.8,,,CoRoT-9 b,1347.0,13.637,2009
269,269,WISE 1039-1600,47.3,,,CoRoTID 223977153 b,1881.0,13.626,2017
270,270,WISE 1042-3842,53.2,,,CT Chamaleontis b,622.0,12.335,2007
271,271,WISE 1051-2138,40.8,,,DE Canun Venaticorum b,100.0,12.956,2018
