,star_name,distance,mass,radius,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date
225,WISE 0359-5401,19.2,,,CoRoT-23 b,3461,2.8 Jupiters,15.675,2011
226,WISE 0410+1502,20,6,1.17,CoRoT-24 b,1930,5.7 Earths,15.383,2014
227,WISE 0410+1411,85.8,,,CoRoT-24 c,1930,28 Earths,15.383,2014
228,WISE 0413-4750,66.2,,,CoRoT-25 b,3600,0.27 Jupiters,14.79,2013
229,WISE 0448-1935,69.8,,,CoRoT-26 b,3409,0.52 Jupiters,15.861,2013
230,WISE 0458+6434A,35.9,15,4.2,CoRoT-27 b,3296,10.39 Jupiters,15.774,2014
231,WISE 0458+6434B,35.9,10,3.8,CoRoT-28 b,2499,0.484 Jupiters,13.783,2015
232,WISE 0500-1223,47,,,CoRoT-29 b,2631,0.85 Jupiters,15.408,2015
233,WISE 0513+0608,44.7,,,CoRoT-2 b,696,3.47 Jupiters,12.516,2008
234,WISE 0525+6739,98.2,,,CoRoT-30 b,3367,2.9 Jupiters,15.571,2020
235,WISE 0528-3308,57.4,,,CoRoT-31 b,6543,0.84 Jupiters,15.479,2020
236,WISE 0535-7500,47,,,CoRoT-3 b,2508,21.66 Jupiters,13.448,2008
237,WISE 0539-1034,84.8,,,CoRoT-4 b,2370,0.72 Jupiters,13.652,2008
238,WISE 0542-1628,50.6,,,CoRoT-5 b,2879,0.467 Jupiters,14.043,2009
239,WISE 0607+2429,25.4,,,CoRoT-6 b,2105,2.96 Jupiters,13.961,2009
240,WISE 0611-0410,57.7,,,CoRoT-7 b,522,4.07661 Earths,11.728,2009
241,WISE 0612-4920,95.2,,,CoRoT-7 c,522,8.4 Earths,11.728,2009
242,WISE 0612-3036,64.9,,,CoRoT-8 b,1050,0.22 Jupiters,14.792,2010
243,WISE 0614+3912,50.2,,,CoRoT-9 b,1347,0.84 Jupiters,13.637,2009
244,WISE 0614+0951,51.5,,,CoRoTID 223977153 b,1881,0.15 Jupiters,13.626,2017
245,WISE 0623-0456,37.5,,,CT Chamaleontis b,622,17 Jupiters,12.335,2007
246,WISE 0625+5646,67.2,,,DE Canun Venaticorum b,100,12.0293 Jupiters,12.956,2018
247,WISE 0627-1114,37.2,,,DENIS-P J082303.1-491201 b,68,28.5 Jupiters,18.5577,2013
248,WISE 0647-6232,28,,,DH Tauri b,440,11 Jupiters,13.98,2004
249,WISE 0656+4205,54.1,,,DMPP-1 b,204,24.27 Earths,7.98,2019
250,WISE 0713-2917,23.2,,,CoRoT-23 b,3461,2.8 Jupiters,15.675,2011
251,WISE 0723+3403,45.7,,,CoRoT-24 b,1930,5.7 Earths,15.383,2014
252,WISE 0733+7544,78.3,,,CoRoT-24 c,1930,28 Earths,15.383,2014
253,WISE 0734-7157,34.9,,,CoRoT-25 b,3600,0.27 Jupiters,14.79,2013
254,WISE 0744+5628,47.3,,,CoRoT-26 b,3409,0.52 Jupiters,15.861,2013
255,WISE 0750+2725,51.5,,,CoRoT-27 b,3296,10.39 Jupiters,15.774,2014
256,WISE 0751-7634,39.1,,,CoRoT-28 b,2499,0.484 Jupiters,13.783,2015
257,WISE 0759-4904,38.8,,,CoRoT-29 b,2631,0.85 Jupiters,15.408,2015
258,WISE 0811-8051,32,,,CoRoT-2 b,696,3.47 Jupiters,12.516,2008
259,WISE 0812+4021,63.6,,,CoRoT-30 b,3367,2.9 Jupiters,15.571,2020
260,WISE 0819-0335,46,,,CoRoT-31 b,6543,0.84 Jupiters,15.479,2020
261,WISE 0821+1443,68.2,,,CoRoT-3 b,2508,21.66 Jupiters,13.448,2008
262,WISE 0836-1859,72.4,,,CoRoT-4 b,2370,0.72 Jupiters,13.652,2008
263,WISE 0857+5604,42.1,,,CoRoT-5 b,2879,0.467 Jupiters,14.043,2009
264,WISE 0906+4735,51.5,,,CoRoT-6 b,2105,2.96 Jupiters,13.961,2009
265,WISE 0929+0409,64.9,,,CoRoT-7 b,522,4.07661 Earths,11.728,2009
266,WISE 0952+1955,72.1,,,CoRoT-7 c,522,8.4 Earths,11.728,2009
267,WISE 1018-2445,47.6,,,CoRoT-8 b,1050,0.22 Jupiters,14.792,2010
268,WISE 1019+6529,56.8,,,CoRoT-9 b,1347,0.84 Jupiters,13.637,2009
269,WISE 1039-1600,47.3,,,CoRoTID 223977153 b,1881,0.15 Jupiters,13.626,2017
270,WISE 1042-3842,53.2,,,CT Chamaleontis b,622,17 Jupiters,12.335,2007
271,WISE 1051-2138,40.8,,,DE Canun Venaticorum b,100,12.0293 Jupiters,12.956,2018
272,WISE 1122+2550,57.7,,,DENIS-P J082303.1-491201 b,68,28.5 Jupiters,18.5577,2013
273,WISE 1124-0421,50.6,,,DH Tauri b,440,11 Jupiters,13.98,2004
274,WISE 1147-2040,102,,,DMPP-1 b,204,24.27 Earths,7.98,2019
275,WISE 1150+6302,32.9,,,CoRoT-23 b,3461,2.8 Jupiters,15.675,2011
276,WISE 1217+1626A,34.2,12,,CoRoT-24 b,1930,5.7 Earths,15.383,2014
277,WISE 1217+1626B,34.2,6,,CoRoT-24 c,1930,28 Earths,15.383,2014
278,WISE 1225-1013,55.4,,,CoRoT-25 b,3600,0.27 Jupiters,14.79,2013
279,WISE 1311+0122,44.4,,,CoRoT-26 b,3409,0.52 Jupiters,15.861,2013
280,WISE 1311+3629,86.1,,,CoRoT-27 b,3296,10.39 Jupiters,15.774,2014
281,WISE 1318-1758,32.9,,,CoRoT-28 b,2499,0.484 Jupiters,13.783,2015
282,WISE 1320+6034,56.1,,,CoRoT-29 b,2631,0.85 Jupiters,15.408,2015
283,WISE 1322-2340,33.9,,,CoRoT-2 b,696,3.47 Jupiters,12.516,2008
284,WISE 1348+6603,91,,,CoRoT-30 b,3367,2.9 Jupiters,15.571,2020
285,WISE 1405+5534,25.3,30,0.86,CoRoT-31 b,6543,0.84 Jupiters,15.479,2020
286,WISE 1433-0837,84.8,,,CoRoT-3 b,2508,21.66 Jupiters,13.448,2008
287,WISE 1436-1814,60,,,CoRoT-4 b,2370,0.72 Jupiters,13.652,2008
288,WISE 1457+5815,52.2,,,CoRoT-5 b,2879,0.467 Jupiters,14.043,2009
289,WISE 1506+7027,11.1,,,CoRoT-6 b,2105,2.96 Jupiters,13.961,2009
290,WISE 1517+0529,72.4,,,CoRoT-7 b,522,4.07661 Earths,11.728,2009
291,WISE 1519+7009,50.9,,,CoRoT-7 c,522,8.4 Earths,11.728,2009
292,WISE 1523+3125,84.5,,,CoRoT-8 b,1050,0.22 Jupiters,14.792,2010
293,WISE 1541-2250,20,,,CoRoT-9 b,1347,0.84 Jupiters,13.637,2009
294,WISE 1542+2230,41.1,,,CoRoTID 223977153 b,1881,0.15 Jupiters,13.626,2017
295,WISE 1612-3420,55.4,,,CT Chamaleontis b,622,17 Jupiters,12.335,2007
296,WISE 1614+1739,32.6,,,DE Canun Venaticorum b,100,12.0293 Jupiters,12.956,2018
297,WISE 1617+1807,50.2,,,DENIS-P J082303.1-491201 b,68,28.5 Jupiters,18.5577,2013
298,WISE 1622-0959,52.2,,,DH Tauri b,440,11 Jupiters,13.98,2004
299,WISE 1627+3255,50.2,,,DMPP-1 b,204,24.27 Earths,7.98,2019
300,WISE 1639-6847,16.3,,,DMPP-1 c,204,9.6 Earths,7.98,2019
301,WISE 1647+5632,28,,,DMPP-1 d,204,3.35 Earths,7.98,2019
302,WISE 1653+4444,39.5,,,DMPP-1 e,204,4.13 Earths,7.98,2019
303,WISE 1711+3500,60.3,,,DMPP-2 b,450,0.437 Jupiters,8.57,2019
304,WISE 1717+6129,72.7,,,DMPP-3 A b,148,2.58 Earths,9.066,2019
305,WISE 1721+1117,62.3,,,DP Leonis b,997,6.28 Jupiters,18.6837,2009
306,WISE 1728+5716,97.8,,,DS Tucanae A b,144,1.3 Jupiters,8.17,2019
307,WISE 1738+2732,20,,,EPIC 201170410.02,437,1.15 Earths,17.6984,2020
308,WISE 1741+2553,18.9,,,EPIC 201238110 b,520,4.16 Earths,16.014,2019
309,WISE 1746-0338,83.8,,,EPIC 201427007 b,2304,2.86 Earths,14.321,2021
310,WISE 1800+0134,28.7,57,,EPIC 201497682 b,825,0.26 Earths,13.948,2019
311,WISE 1804+3117,30,,,EPIC 201595106 b,757,2.24 Earths,11.746,2021
312,WISE 1809+3838,74.4,,,EPIC 201615463 c,1556,1.98 Earths,12.081,2019
313,WISE 1812+2721,47,,,EPIC 201754305 d,1093,1.08 Earths,14.668,2019
314,WISE 1828+2650,36,,,EPIC 201757695.02,1884,0.688 Earths,14.974,2020
315,WISE 1830+4542,107,,,EPIC 201833600 c,840,0.972 Earths,14.705,2019
316,WISE 1841+7000,131.1,,,EPIC 201841433 b,1424,1.12 Earths,14.983,2019
317,WISE 1852+3537,55.4,,,EPIC 205950854 c,796,2.27 Earths,12.365,2019
318,WISE 1906+4508,51.5,,,EPIC 206024342 b,1207,3.53 Earths,13.096,2019
319,WISE 1928+2356,22.8,,,EPIC 206024342 c,1207,2.54 Earths,13.096,2021
320,WISE 1952+7240,44.4,,,EPIC 206024342 d,1207,7.27 Earths,13.096,2021
